Date,Open,High,Low,Close,Adj Close,Volume
2024-07-22,3.670000,3.670000,3.510000,3.560000,3.560000,4000
2024-07-23,3.570000,3.700000,3.560000,3.600000,3.600000,60500
2024-07-24,3.520000,3.750000,3.520000,3.680000,3.680000,32600
2024-07-25,3.650000,3.900000,2.810000,3.290000,3.290000,2060800
2024-07-26,9.210000,9.400000,6.160000,8.290000,8.290000,48574400
2024-07-29,7.500000,8.500000,6.730000,7.300000,7.300000,1725300
2024-07-30,6.680000,6.790000,5.440000,5.680000,5.680000,352900
2024-07-31,5.600000,9.190000,5.600000,9.120000,9.120000,682900
2024-08-01,8.800000,12.320000,8.620000,10.010000,10.010000,2396300
2024-08-02,9.760000,11.450000,8.110000,8.420000,8.420000,452300
2024-08-05,6.810000,10.000000,6.800000,9.800000,9.800000,143100
2024-08-06,10.070000,12.390000,9.580000,12.250000,12.250000,240300
2024-08-07,13.730000,14.750000,10.850000,11.000000,11.000000,290400
2024-08-08,11.940000,12.440000,9.200000,10.710000,10.710000,151100
2024-08-09,10.260000,12.510000,10.000000,12.360000,12.360000,95300
2024-08-12,12.290000,13.270000,11.610000,11.800000,11.800000,36100
2024-08-13,11.700000,11.790000,9.870000,9.990000,9.990000,47900
2024-08-14,10.200000,10.900000,9.800000,10.210000,10.210000,15900
2024-08-15,10.290000,11.740000,9.900000,11.140000,11.140000,69000
2024-08-16,10.920000,12.150000,10.510000,11.800000,11.800000,52700
2024-08-19,12.000000,12.000000,10.630000,11.000000,11.000000,58900
2024-08-20,11.870000,13.240000,11.220000,11.220000,11.220000,51900
2024-08-21,11.200000,11.440000,10.350000,10.540000,10.540000,30500
