Open,High,Low,Adj Close,Volume,Date,Close
0.0180275525512965,0.0186157448257693,0.0108361668987981,0.0124519890842935,0.5584372608632706,01-07-2010,0.0124519890842935
0.0139581280554535,0.0129648950133021,0.0076406222488375,0.006872854255104,0.346170020613155,02-07-2010,0.006872854255104
0.0078539913116891,0.0067529679144907,0.0017411610328881,0.0006266444309681,0.46523684446374747,06-07-2010,0.0006266444309681
0.0005290272191717,0.0,0.0,0.0,0.46901477391022584,07-07-2010,0.0
0.0,0.0017834262354415,0.0012085705992987,0.0033555670103092,0.523456943324164,08-07-2010,0.0033555670103092
0.0029299876717191,0.0025448882669088,0.0032160248005569,0.0032342834040832,0.2710802258484826,09-07-2010,0.0032342834040832
0.0036828332381623,0.0028855423336178,0.0041378179840401,0.0025267818880128,0.14367162347555684,12-07-2010,0.0025267818880128
0.0025433903099018,0.0040277333769711,0.0039329755095826,0.0047301374570446,0.17659751952734495,13-07-2010,0.0047301374570446
0.003662486115683,0.0070535450321751,0.0056946207899166,0.0081665655953102,0.2810489958842627,14-07-2010,0.0081665655953102
0.007731910611526,0.0097587390913349,0.0082346674731887,0.0082676349302607,0.24965357490020845,15-07-2010,0.0082676349302607
0.0092782919199464,0.0093579675972416,0.010385511406567,0.0097837052759247,0.17254382880740113,16-07-2010,0.0097837052759247
0.0106415491260538,0.011261624679757,0.0121676429827715,0.0123509197493429,0.16325067389161166,19-07-2010,0.0123509197493429
0.0116182089703438,0.0104600856992652,0.010385511406567,0.009096420052557,0.11766733538775456,20-07-2010,0.009096420052557
0.0091969013953172,0.0085564306205972,0.0092588798454759,0.0089347058823528,0.07817832102748615,21-07-2010,0.0089347058823528
0.0088713474356498,0.0092577772285275,0.0110410114216803,0.0105114210632705,0.05786160920491087,22-07-2010,0.0105114210632705
0.0102753009214279,0.0098789679345613,0.0124544203985872,0.0110976369516877,0.036889964357854965,23-07-2010,0.0110976369516877
0.0109060596835713,0.0097587390913349,0.0108976175927106,0.0104103517283201,0.05540733387106738,26-07-2010,0.0104103517283201
0.0097055794572976,0.0091175079069415,0.0108156826513524,0.0096017768344451,0.03455288756523448,27-07-2010,0.0096017768344451
0.0089730810133336,0.0085564306205972,0.011327788837496,0.0099454194461289,0.024039489014360035,28-07-2010,0.0099454194461289
0.0094207197425886,0.0085163516677252,0.0102830922177631,0.0091974934303618,0.03429780838727874,29-07-2010,0.0091974934303618
0.0082609357959857,0.0076346627968791,0.0093612990342799,0.0083687103294926,0.02126119418419439,30-07-2010,0.0083687103294926
0.0088713474356498,0.0086966979383358,0.0109590723834726,0.0103497068930665,0.04133661489248726,02-08-2010,0.0103497068930665
0.0098887035596105,0.0106604724482356,0.011962800508314,0.0124317788558721,0.07666163402342545,03-08-2010,0.0124317788558721
0.0118216822298482,0.011121355358171,0.0120242532506513,0.0110369921164341,0.0547730829420967,04-08-2010,0.0110369921164341
0.0109874502082005,0.009858929460049,0.010385511406567,0.009399638164544,0.04672085375690215,05-08-2010,0.009399638164544
0.0080574625364812,0.0070735835066874,0.0092998483403674,0.0076612088134221,0.04297739446960736,06-08-2010,0.0076612088134221
0.0076505200868969,0.0067128909654661,0.0091564606566719,0.0076814230846977,0.04785836900994779,09-08-2010,0.0076814230846977
0.0071418420249165,0.0060516213065603,0.0078659510191654,0.0065292116434202,0.08016380219643834,10-08-2010,0.0065292116434202
0.0051885203016242,0.0045086567652663,0.0058789790169283,0.0042449969678592,0.046817370202615415,11-08-2010,0.0042449969678592
0.0033776223315496,0.0025448882669088,0.0049367015859993,0.0036385688295936,0.03946833226475807,12-08-2010,0.0036385688295936
0.004150815020472,0.0036470063689324,0.0054897783154591,0.0050939963614311,0.035538734117873866,13-08-2010,0.0050939963614311
0.004700189362123,0.0043483489691678,0.0067188331622037,0.0060238548615321,0.02532177893597472,16-08-2010,0.0060238548615321
0.0057378885391385,0.005550659443753,0.0077840160778071,0.0067717808772993,0.02270894086988856,17-08-2010,0.0067717808772993
0.0070197592900413,0.0059313904594866,0.007415297575359,0.0060036385688295,0.033284385707292814,18-08-2010,0.0060036385688295
0.0048833134644359,0.0052500823260685,0.0068622228943239,0.0060440691328077,0.031753910639559,19-08-2010,0.0060440691328077
0.005107129776995,0.0049695456867439,0.0072309393483473,0.0066707095209216,0.012236906510033785,20-08-2010,0.0066707095209216
